iter	Passed	Remaining
711	36857	14908
712	36908	14856
713	36960	14805
714	37013	14753
715	37066	14702
716	37117	14650
717	37171	14599
718	37225	14548
719	37278	14497
720	37328	14444
721	37383	14394
722	37434	14341
723	37487	14291
724	37541	14239
725	37592	14187
726	37645	14136
727	37698	14085
728	37747	14032
729	37800	13980
730	37852	13929
731	37906	13878
732	37964	13828
733	38019	13778
734	38072	13726
735	38121	13674
736	38173	13622
737	38227	13571
738	38280	13520
739	38332	13468
740	38385	13416
741	38437	13365
742	38488	13313
743	38540	13261
744	38591	13209
745	38644	13157
746	38697	13106
747	38749	13054
748	38802	13003
749	38854	12951
750	38907	12900
751	38960	12848
752	39014	12797
753	39062	12744
754	39117	12693
755	39169	12641
756	39223	12590
757	39275	12539
758	39327	12487
759	39380	12436
760	39433	12384
761	39486	12333
762	39538	12281
763	39590	12229
764	39641	12177
765	39689	12124
766	39741	12072
767	39794	12021
768	39844	11968
769	39898	11917
770	39947	11864
771	39998	11813
772	40054	11762
773	40104	11710
774	40158	11658
775	40209	11606
776	40262	11555
777	40316	11504
778	40369	11452
779	40422	11401
780	40472	11348
781	40524	11297
782	40576	11245
783	40628	11193
784	40681	11142
785	40734	11090
786	40786	11038
787	40837	10986
788	40885	10933
789	40933	10881
790	40986	10829
791	41039	10778
792	41093	10726
793	41145	10675
794	41199	10623
795	41250	10571
796	41301	10519
797	41353	10467
798	41405	10416
799	41455	10363
800	41505	10311
801	41557	10259
802	41606	10207
803	41658	10155
804	41710	10103
805	41758	10051
806	41814	10000
807	41866	9948
808	41917	9896
809	41964	9843
810	42025	9793
811	42075	9741
812	42124	9689
813	42179	9638
814	42230	9586
815	42278	9533
816	42328	9481
817	42379	9429
818	42428	9376
819	42476	9324
820	42529	9272
821	42580	9220
822	42634	9169
823	42686	9117
824	42737	9065
825	42785	9012
826	42839	8961
827	42892	8909
828	42944	8858
829	42997	8806
830	43049	8754
831	43102	8703
832	43153	8651
833	43207	8600
834	43258	8548
835	43303	8494
836	43356	8443
837	43409	8391
838	43461	8340
839	43514	8288
840	43565	8236
841	43617	8184
842	43669	8133
843	43722	8081
844	43774	8029
845	43828	7978
846	43880	7926
847	43932	7874
848	43986	7823
849	44040	7771
850	44092	7720
851	44144	7668
852	44196	7616
853	44248	7564
854	44301	7513
855	44353	7461
856	44405	7409
857	44461	7358
858	44514	7306
859	44562	7254
860	44611	7202
861	44663	7150
862	44713	7098
863	44766	7046
864	44817	6994
865	44869	6942
866	44922	6891
867	44975	6839
868	45030	6788
869	45083	6736
870	45138	6685
871	45189	6633
872	45241	6581
873	45296	6530
874	45349	6478
875	45401	6426
876	45455	6375
877	45507	6323
878	45556	6271
879	45608	6219
880	45660	6167
881	45713	6115
882	45767	6064
883	45818	6012
884	45869	5960
885	45922	5908
886	45974	5856
887	46026	5805
888	46080	5753
889	46131	5701
890	46184	5649
891	46238	5598
892	46291	5546
893	46345	5495
894	46399	5443
895	46452	5391
896	46504	5339
897	46556	5288
898	46608	5236
899	46659	5184
900	46710	5132
901	46763	5080
902	46813	5028
903	46864	4976
904	46918	4925
905	46973	4873
906	47027	4822
907	47080	4770
908	47132	4718
909	47185	4666
910	47237	4614
911	47290	4563
912	47340	4511
913	47394	4459
914	47446	4407
915	47497	4355
916	47551	4304
917	47603	4252
918	47653	4200
919	47705	4148
920	47756	4096
921	47807	4044
922	47854	3992
923	47903	3940
924	47958	3888
925	48015	3837
926	48069	3785
927	48131	3734
928	48197	3683
929	48254	3632
930	48310	3580
931	48363	3528
932	48412	3476
933	48462	3424
934	48514	3372
935	48566	3320
936	48614	3268
937	48665	3216
938	48715	3164
939	48768	3112
940	48824	3061
941	48880	3009
942	48931	2957
943	48980	2905
944	49028	2853
945	49078	2801
946	49126	2749
947	49176	2697
948	49229	2645
949	49282	2593
950	49336	2542
951	49387	2490
952	49441	2438
953	49492	2386
954	49542	2334
955	49594	2282
956	49645	2230
957	49698	2178
958	49749	2126
959	49801	2075
960	49852	2023
961	49904	1971
962	49955	1919
963	50006	1867
964	50059	1815
965	50114	1763
966	50167	1712
967	50220	1660
968	50273	1608
969	50324	1556
970	50378	1504
971	50431	1452
972	50483	1400
973	50535	1348
974	50585	1297
975	50639	1245
976	50689	1193
977	50740	1141
978	50794	1089
979	50845	1037
980	50898	985
981	50949	933
982	51002	882
983	51055	830
984	51106	778
985	51160	726
986	51212	674
987	51262	622
988	51315	570
989	51367	518
990	51420	466
991	51473	415
992	51524	363
993	51576	311
994	51629	259
995	51680	207
996	51733	155
997	51784	103
998	51831	51
999	51883	0
